"","Crops_majority","y"
"1",0,-5.05339324089201
"2",5.41414141414141,-5.05339324089201
"3",10.8282828282828,-5.05339324089201
"4",16.2424242424242,-5.05339324089201
"5",21.6565656565657,-5.05339324089201
"6",27.0707070707071,-5.05339324089201
"7",32.4848484848485,-5.05339324089201
"8",37.8989898989899,-5.05339324089201
"9",43.3131313131313,-5.05339324089201
"10",48.7272727272727,-5.05339324089201
"11",54.1414141414141,-5.05339324089201
"12",59.5555555555556,-5.05339324089201
"13",64.969696969697,-5.05339324089201
"14",70.3838383838384,-5.05339324089201
"15",75.7979797979798,-5.05339324089201
"16",81.2121212121212,-5.05339324089201
"17",86.6262626262626,-5.05339324089201
"18",92.040404040404,-5.05339324089201
"19",97.4545454545455,-5.05339324089201
"20",102.868686868687,-5.05339324089201
"21",108.282828282828,-5.05339324089201
"22",113.69696969697,-5.05339324089201
"23",119.111111111111,-5.05339324089201
"24",124.525252525253,-5.05339324089201
"25",129.939393939394,-5.05339324089201
"26",135.353535353535,-5.05339324089201
"27",140.767676767677,-5.05339324089201
"28",146.181818181818,-5.05339324089201
"29",151.59595959596,-5.05339324089201
"30",157.010101010101,-5.05339324089201
"31",162.424242424242,-5.05339324089201
"32",167.838383838384,-5.05339324089201
"33",173.252525252525,-5.05339324089201
"34",178.666666666667,-5.05339324089201
"35",184.080808080808,-5.05339324089201
"36",189.49494949495,-5.05339324089201
"37",194.909090909091,-5.05339324089201
"38",200.323232323232,-5.05339324089201
"39",205.737373737374,-5.05339324089201
"40",211.151515151515,-5.05339324089201
"41",216.565656565657,-5.05339324089201
"42",221.979797979798,-5.05339324089201
"43",227.393939393939,-5.05339324089201
"44",232.808080808081,-5.05339324089201
"45",238.222222222222,-5.05339324089201
"46",243.636363636364,-5.05339324089201
"47",249.050505050505,-5.05339324089201
"48",254.464646464646,-5.05339324089201
"49",259.878787878788,-5.05339324089201
"50",265.292929292929,-5.05339324089201
"51",270.707070707071,-5.05339324089201
"52",276.121212121212,-5.05339324089201
"53",281.535353535354,-5.05339324089201
"54",286.949494949495,-5.05339324089201
"55",292.363636363636,-5.05339324089201
"56",297.777777777778,-5.05339324089201
"57",303.191919191919,-5.05339324089201
"58",308.606060606061,-5.05339324089201
"59",314.020202020202,-5.05339324089201
"60",319.434343434343,-5.05339324089201
"61",324.848484848485,-5.05339324089201
"62",330.262626262626,-5.05339324089201
"63",335.676767676768,-5.05339324089201
"64",341.090909090909,-5.05339324089201
"65",346.505050505051,-5.05339324089201
"66",351.919191919192,-5.05339324089201
"67",357.333333333333,-5.05339324089201
"68",362.747474747475,-5.05339324089201
"69",368.161616161616,-5.05339324089201
"70",373.575757575758,-5.05339324089201
"71",378.989898989899,-5.05339324089201
"72",384.40404040404,-5.05339324089201
"73",389.818181818182,-5.05339324089201
"74",395.232323232323,-5.05339324089201
"75",400.646464646465,-5.05339324089201
"76",406.060606060606,-5.05339324089201
"77",411.474747474748,-5.05339324089201
"78",416.888888888889,-5.05339324089201
"79",422.30303030303,-5.05339324089201
"80",427.717171717172,-5.05339324089201
"81",433.131313131313,-5.05339324089201
"82",438.545454545455,-5.05339324089201
"83",443.959595959596,-5.05339324089201
"84",449.373737373737,-5.05339324089201
"85",454.787878787879,-5.05339324089201
"86",460.20202020202,-5.05339324089201
"87",465.616161616162,-5.05339324089201
"88",471.030303030303,-5.05339324089201
"89",476.444444444444,-5.05339324089201
"90",481.858585858586,-5.05348409169557
"91",487.272727272727,-5.05348409169557
"92",492.686868686869,-5.05348409169557
"93",498.10101010101,-5.05348409169557
"94",503.515151515152,-5.05348409169557
"95",508.929292929293,-5.05348409169557
"96",514.343434343434,-5.05348409169557
"97",519.757575757576,-5.05348409169557
"98",525.171717171717,-5.05348409169557
"99",530.585858585859,-5.05354586245408
"100",536,-5.04718469654774
