"","IUCN.Status","y"
"1","",-6.66520557401329
"2","CR",-6.67478144035605
"3","CR (PE)",-6.61005946820187
"4","DD",-6.55804043920715
"5","EN",-6.58393226994851
"6","EW",-6.65098046478714
"7","EX",-6.65805535136756
"8","LC",-6.67509427278174
"9","NT",-6.66287746344095
"10","RE",-6.59316182971741
"11","VU",-6.61421141192884
