"","LVSTD_DS","y"
"1","High livestock",-6.16211945534248
"2","Low livestock",-6.17115469945014
"3","Moderate livestock",-6.16607849831557
"4","No data",-6.16225299435835
"5","None",-6.17149864512938
"6","Water",-6.16837060572808
