"","IUCN.Status","y"
"1","",-4.91590003720498
"2","CR",-4.92223212828306
"3","CR (PE)",-4.91587076219064
"4","CR (PEW)",-4.91587076219064
"5","DD",-4.91633012618776
"6","EN",-4.92189099467543
"7","EW",-4.91587076219064
"8","EX",-4.91598694528797
"9","LC",-4.92257746609622
"10","NT",-4.91598694528797
"11","RE",-4.91587076219064
"12","VU",-4.92073291208379
