"","ANTILOCAPRIDAE","y"
"1",0,-6.31207492041761
"2",0,-6.31207492041761
"3",0,-6.31207492041761
"4",0,-6.31207492041761
"5",0,-6.31207492041761
"6",0,-6.31207492041761
"7",0,-6.31207492041761
"8",0,-6.31207492041761
"9",0,-6.31207492041761
"10",0,-6.31207492041761
"11",0,-6.31207492041761
"12",0,-6.31207492041761
"13",0,-6.31207492041761
"14",0,-6.31207492041761
"15",0,-6.31207492041761
"16",0,-6.31207492041761
"17",0,-6.31207492041761
"18",0,-6.31207492041761
"19",0,-6.31207492041761
"20",0,-6.31207492041761
"21",0,-6.31207492041761
"22",0,-6.31207492041761
"23",0,-6.31207492041761
"24",0,-6.31207492041761
"25",0,-6.31207492041761
"26",0,-6.31207492041761
"27",0,-6.31207492041761
"28",0,-6.31207492041761
"29",0,-6.31207492041761
"30",0,-6.31207492041761
"31",0,-6.31207492041761
"32",0,-6.31207492041761
"33",0,-6.31207492041761
"34",0,-6.31207492041761
"35",0,-6.31207492041761
"36",0,-6.31207492041761
"37",0,-6.31207492041761
"38",0,-6.31207492041761
"39",0,-6.31207492041761
"40",0,-6.31207492041761
"41",0,-6.31207492041761
"42",0,-6.31207492041761
"43",0,-6.31207492041761
"44",0,-6.31207492041761
"45",0,-6.31207492041761
"46",0,-6.31207492041761
"47",0,-6.31207492041761
"48",0,-6.31207492041761
"49",0,-6.31207492041761
"50",0,-6.31207492041761
"51",0,-6.31207492041761
"52",0,-6.31207492041761
"53",0,-6.31207492041761
"54",0,-6.31207492041761
"55",0,-6.31207492041761
"56",0,-6.31207492041761
"57",0,-6.31207492041761
"58",0,-6.31207492041761
"59",0,-6.31207492041761
"60",0,-6.31207492041761
"61",0,-6.31207492041761
"62",0,-6.31207492041761
"63",0,-6.31207492041761
"64",0,-6.31207492041761
"65",0,-6.31207492041761
"66",0,-6.31207492041761
"67",0,-6.31207492041761
"68",0,-6.31207492041761
"69",0,-6.31207492041761
"70",0,-6.31207492041761
"71",0,-6.31207492041761
"72",0,-6.31207492041761
"73",0,-6.31207492041761
"74",0,-6.31207492041761
"75",0,-6.31207492041761
"76",0,-6.31207492041761
"77",0,-6.31207492041761
"78",0,-6.31207492041761
"79",0,-6.31207492041761
"80",0,-6.31207492041761
"81",0,-6.31207492041761
"82",0,-6.31207492041761
"83",0,-6.31207492041761
"84",0,-6.31207492041761
"85",0,-6.31207492041761
"86",0,-6.31207492041761
"87",0,-6.31207492041761
"88",0,-6.31207492041761
"89",0,-6.31207492041761
"90",0,-6.31207492041761
"91",0,-6.31207492041761
"92",0,-6.31207492041761
"93",0,-6.31207492041761
"94",0,-6.31207492041761
"95",0,-6.31207492041761
"96",0,-6.31207492041761
"97",0,-6.31207492041761
"98",0,-6.31207492041761
"99",0,-6.31207492041761
"100",0,-6.31207492041761
