"","SAPAYOAIDAE","y"
"1",0,-5.05331438415491
"2",0,-5.05331438415491
"3",0,-5.05331438415491
"4",0,-5.05331438415491
"5",0,-5.05331438415491
"6",0,-5.05331438415491
"7",0,-5.05331438415491
"8",0,-5.05331438415491
"9",0,-5.05331438415491
"10",0,-5.05331438415491
"11",0,-5.05331438415491
"12",0,-5.05331438415491
"13",0,-5.05331438415491
"14",0,-5.05331438415491
"15",0,-5.05331438415491
"16",0,-5.05331438415491
"17",0,-5.05331438415491
"18",0,-5.05331438415491
"19",0,-5.05331438415491
"20",0,-5.05331438415491
"21",0,-5.05331438415491
"22",0,-5.05331438415491
"23",0,-5.05331438415491
"24",0,-5.05331438415491
"25",0,-5.05331438415491
"26",0,-5.05331438415491
"27",0,-5.05331438415491
"28",0,-5.05331438415491
"29",0,-5.05331438415491
"30",0,-5.05331438415491
"31",0,-5.05331438415491
"32",0,-5.05331438415491
"33",0,-5.05331438415491
"34",0,-5.05331438415491
"35",0,-5.05331438415491
"36",0,-5.05331438415491
"37",0,-5.05331438415491
"38",0,-5.05331438415491
"39",0,-5.05331438415491
"40",0,-5.05331438415491
"41",0,-5.05331438415491
"42",0,-5.05331438415491
"43",0,-5.05331438415491
"44",0,-5.05331438415491
"45",0,-5.05331438415491
"46",0,-5.05331438415491
"47",0,-5.05331438415491
"48",0,-5.05331438415491
"49",0,-5.05331438415491
"50",0,-5.05331438415491
"51",0,-5.05331438415491
"52",0,-5.05331438415491
"53",0,-5.05331438415491
"54",0,-5.05331438415491
"55",0,-5.05331438415491
"56",0,-5.05331438415491
"57",0,-5.05331438415491
"58",0,-5.05331438415491
"59",0,-5.05331438415491
"60",0,-5.05331438415491
"61",0,-5.05331438415491
"62",0,-5.05331438415491
"63",0,-5.05331438415491
"64",0,-5.05331438415491
"65",0,-5.05331438415491
"66",0,-5.05331438415491
"67",0,-5.05331438415491
"68",0,-5.05331438415491
"69",0,-5.05331438415491
"70",0,-5.05331438415491
"71",0,-5.05331438415491
"72",0,-5.05331438415491
"73",0,-5.05331438415491
"74",0,-5.05331438415491
"75",0,-5.05331438415491
"76",0,-5.05331438415491
"77",0,-5.05331438415491
"78",0,-5.05331438415491
"79",0,-5.05331438415491
"80",0,-5.05331438415491
"81",0,-5.05331438415491
"82",0,-5.05331438415491
"83",0,-5.05331438415491
"84",0,-5.05331438415491
"85",0,-5.05331438415491
"86",0,-5.05331438415491
"87",0,-5.05331438415491
"88",0,-5.05331438415491
"89",0,-5.05331438415491
"90",0,-5.05331438415491
"91",0,-5.05331438415491
"92",0,-5.05331438415491
"93",0,-5.05331438415491
"94",0,-5.05331438415491
"95",0,-5.05331438415491
"96",0,-5.05331438415491
"97",0,-5.05331438415491
"98",0,-5.05331438415491
"99",0,-5.05331438415491
"100",0,-5.05331438415491
