"","mdiversity_mean","y"
"1",1,-5.41632285875845
"2",2.90923390923232,-5.41632285875845
"3",4.81846781846465,-5.41632285875845
"4",6.72770172769697,-5.41632285875845
"5",8.63693563692929,-5.41632285875845
"6",10.5461695461616,-5.41632285875845
"7",12.4554034553939,-5.41632285875845
"8",14.3646373646263,-5.41632285875845
"9",16.2738712738586,-5.41632285875845
"10",18.1831051830909,-5.41632285875845
"11",20.0923390923232,-5.41632285875845
"12",22.0015730015556,-5.41632285875845
"13",23.9108069107879,-5.41632285875845
"14",25.8200408200202,-5.41632285875845
"15",27.7292747292525,-5.41632285875845
"16",29.6385086384849,-5.41632285875845
"17",31.5477425477172,-5.41632285875845
"18",33.4569764569495,-5.41632285875845
"19",35.3662103661818,-5.41632285875845
"20",37.2754442754141,-5.41632285875845
"21",39.1846781846465,-5.41632285875845
"22",41.0939120938788,-5.41632285875845
"23",43.0031460031111,-5.41632285875845
"24",44.9123799123434,-5.41632285875845
"25",46.8216138215758,-5.41632285875845
"26",48.7308477308081,-5.41607256220019
"27",50.6400816400404,-5.41552081245081
"28",52.5493155492727,-5.41453497967302
"29",54.4585494585051,-5.41431823844098
"30",56.3677833677374,-5.41407854641399
"31",58.2770172769697,-5.41328491728333
"32",60.186251186202,-5.41328491728333
"33",62.0954850954343,-5.41328491728333
"34",64.0047190046667,-5.41328491728333
"35",65.913952913899,-5.41328708621715
"36",67.8231868231313,-5.41328708621715
"37",69.7324207323636,-5.41326366462882
"38",71.641654641596,-5.41326366462882
"39",73.5508885508283,-5.41326366462882
"40",75.4601224600606,-5.41326366462882
"41",77.3693563692929,-5.41326366462882
"42",79.2785902785253,-5.41326366462882
"43",81.1878241877576,-5.41265765071961
"44",83.0970580969899,-5.41265765071961
"45",85.0062920062222,-5.41265765071961
"46",86.9155259154546,-5.41239303864478
"47",88.8247598246869,-5.41239303864478
"48",90.7339937339192,-5.41239303864478
"49",92.6432276431515,-5.41204780882907
"50",94.5524615523838,-5.41204780882907
"51",96.4616954616162,-5.41073708930512
"52",98.3709293708485,-5.41073708930512
"53",100.280163280081,-5.40892007353938
"54",102.189397189313,-5.40991639617065
"55",104.098631098545,-5.40996832676152
"56",106.007865007778,-5.41243491576793
"57",107.91709891701,-5.41243491576793
"58",109.826332826242,-5.41244179206331
"59",111.735566735475,-5.41244179206331
"60",113.644800644707,-5.41244179206331
"61",115.554034553939,-5.41244179206331
"62",117.463268463172,-5.41244179206331
"63",119.372502372404,-5.41244179206331
"64",121.281736281636,-5.41191176991534
"65",123.190970190869,-5.41150448658292
"66",125.100204100101,-5.41091558521526
"67",127.009438009333,-5.40985028192151
"68",128.918671918566,-5.40935557048841
"69",130.827905827798,-5.40724575417654
"70",132.73713973703,-5.4067568541852
"71",134.646373646263,-5.40626252018595
"72",136.555607555495,-5.40224979486812
"73",138.464841464727,-5.40180035278429
"74",140.37407537396,-5.39471685122826
"75",142.283309283192,-5.39326115930326
"76",144.192543192424,-5.39142463571888
"77",146.101777101657,-5.38626597904061
"78",148.011011010889,-5.38226696610149
"79",149.920244920121,-5.37762010874773
"80",151.829478829354,-5.37620584419394
"81",153.738712738586,-5.3591462214255
"82",155.647946647818,-5.3591462214255
"83",157.557180557051,-5.3591462214255
"84",159.466414466283,-5.3591462214255
"85",161.375648375515,-5.3591462214255
"86",163.284882284747,-5.3591462214255
"87",165.19411619398,-5.3591462214255
"88",167.103350103212,-5.3591462214255
"89",169.012584012444,-5.3591462214255
"90",170.921817921677,-5.3591462214255
"91",172.831051830909,-5.3591462214255
"92",174.740285740141,-5.3591462214255
"93",176.649519649374,-5.3591462214255
"94",178.558753558606,-5.3591462214255
"95",180.467987467838,-5.3591462214255
"96",182.377221377071,-5.3591462214255
"97",184.286455286303,-5.3591462214255
"98",186.195689195535,-5.3591462214255
"99",188.104923104768,-5.3591462214255
"100",190.014157014,-5.3591462214255
