"","LVSTD_DS","y"
"1","High livestock",-5.75174437738915
"2","Low livestock",-5.75288052935895
"3","Moderate livestock",-5.75606186005681
"4","No data",-5.75298824310413
"5","None",-5.75608623879913
"6","Water",-5.74962299052225
