"","IUCN.Status","y"
"1","",-4.16249032537259
"2","CR",-6.1477284527571
"3","DD",-6.2088513562159
"4","EN",-6.2088513562159
"5","EX",-5.95068371745281
"6","LC",-6.20791487706919
"7","NT",-6.20815504664332
"8","VU",-6.2088513562159
