"","LVSTD_DS","y"
"1","High livestock",-6.38677070477565
"2","Low livestock",-6.38683901601585
"3","Moderate livestock",-6.38827898716493
"4","No data",-6.384233464187
"5","None",-6.38595809810715
"6","Water",-6.384233464187
