"","mdiversity_mean","y"
"1",1,-4.66298168743866
"2",3.11890838207071,-4.66298168743866
"3",5.23781676414141,-4.66298168743866
"4",7.35672514621212,-4.66298168743866
"5",9.47563352828283,-4.66311876905638
"6",11.5945419103535,-4.66342454778592
"7",13.7134502924242,-4.66381961857251
"8",15.8323586744949,-4.66436278193317
"9",17.9512670565657,-4.66436278193317
"10",20.0701754386364,-4.66510548144821
"11",22.1890838207071,-4.66575341015562
"12",24.3079922027778,-4.66634574510764
"13",26.4269005848485,-4.66722959846368
"14",28.5458089669192,-4.66818496027189
"15",30.6647173489899,-4.66881842024755
"16",32.7836257310606,-4.66931595755136
"17",34.9025341131313,-4.66949359610281
"18",37.021442495202,-4.67031488805225
"19",39.1403508772727,-4.66999108089368
"20",41.2592592593434,-4.6691179939513
"21",43.3781676414141,-4.66958825470857
"22",45.4970760234848,-4.66950271705082
"23",47.6159844055556,-4.66913230773563
"24",49.7348927876263,-4.66708200546068
"25",51.853801169697,-4.66708165308378
"26",53.9727095517677,-4.66703701344086
"27",56.0916179338384,-4.66720974465543
"28",58.2105263159091,-4.6676883882701
"29",60.3294346979798,-4.66868345887357
"30",62.4483430800505,-4.66911214022515
"31",64.5672514621212,-4.6693903911504
"32",66.6861598441919,-4.66914889936171
"33",68.8050682262626,-4.66908430998841
"34",70.9239766083333,-4.66889168552096
"35",73.042884990404,-4.66967368021523
"36",75.1617933724747,-4.66961618226134
"37",77.2807017545454,-4.67115004618564
"38",79.3996101366162,-4.67203283184797
"39",81.5185185186869,-4.67227234660318
"40",83.6374269007576,-4.67258936536259
"41",85.7563352828283,-4.67286918031621
"42",87.875243664899,-4.6728917998173
"43",89.9941520469697,-4.6728917998173
"44",92.1130604290404,-4.67279367989415
"45",94.2319688111111,-4.67297152776847
"46",96.3508771931818,-4.67287992375319
"47",98.4697855752525,-4.67287992375319
"48",100.588693957323,-4.67287992375319
"49",102.707602339394,-4.67289763500776
"50",104.826510721465,-4.67289763500776
"51",106.945419103535,-4.67282604592851
"52",109.064327485606,-4.67282604592851
"53",111.183235867677,-4.6727499831276
"54",113.302144249747,-4.6727499831276
"55",115.421052631818,-4.67281783526619
"56",117.539961013889,-4.6729674574441
"57",119.65886939596,-4.67349182392541
"58",121.77777777803,-4.67426816600055
"59",123.896686160101,-4.67417768125846
"60",126.015594542172,-4.67417768125846
"61",128.134502924242,-4.67417768125846
"62",130.253411306313,-4.67411966484157
"63",132.372319688384,-4.67411966484157
"64",134.491228070455,-4.67390938883095
"65",136.610136452525,-4.67248291438809
"66",138.729044834596,-4.67233724990653
"67",140.847953216667,-4.67143693749061
"68",142.966861598737,-4.67143693749061
"69",145.085769980808,-4.67143693749061
"70",147.204678362879,-4.67143693749061
"71",149.323586744949,-4.6687664710307
"72",151.44249512702,-4.66819926410859
"73",153.561403509091,-4.66175637343723
"74",155.680311891162,-4.66138536907622
"75",157.799220273232,-4.65970250360635
"76",159.918128655303,-4.65836721705058
"77",162.037037037374,-4.64767551526919
"78",164.155945419444,-4.64552951878502
"79",166.274853801515,-4.6432996121226
"80",168.393762183586,-4.6431911639584
"81",170.512670565657,-4.63727242727555
"82",172.631578947727,-4.63454650124243
"83",174.750487329798,-4.63327416985069
"84",176.869395711869,-4.63327416985069
"85",178.988304093939,-4.62784959183345
"86",181.10721247601,-4.62784959183345
"87",183.226120858081,-4.62784959183345
"88",185.345029240151,-4.62784959183345
"89",187.463937622222,-4.62784959183345
"90",189.582846004293,-4.62784959183345
"91",191.701754386364,-4.62784959183345
"92",193.820662768434,-4.62784959183345
"93",195.939571150505,-4.62784959183345
"94",198.058479532576,-4.62784959183345
"95",200.177387914646,-4.62784959183345
"96",202.296296296717,-4.62784959183345
"97",204.415204678788,-4.62784959183345
"98",206.534113060859,-4.62784959183345
"99",208.653021442929,-4.62784959183345
"100",210.771929825,-4.62784959183345
