"","PubmedHits_ln","y"
"1",-6.90775527898,-4.90799978791879
"2",-6.68765681324586,-4.90799978791879
"3",-6.46755834751172,-4.90799978791879
"4",-6.24745988177758,-4.90799978791879
"5",-6.02736141604343,-4.90799978791879
"6",-5.80726295030929,-4.90799978791879
"7",-5.58716448457515,-4.90799978791879
"8",-5.36706601884101,-4.90799978791879
"9",-5.14696755310687,-4.90799978791879
"10",-4.92686908737273,-4.90799978791879
"11",-4.70677062163859,-4.90799978791879
"12",-4.48667215590444,-4.90799978791879
"13",-4.2665736901703,-4.90799978791879
"14",-4.04647522443616,-4.90799978791879
"15",-3.82637675870202,-4.90799978791879
"16",-3.60627829296788,-4.90799978791879
"17",-3.38617982723374,-4.90172946591257
"18",-3.1660813614996,-4.90172946591257
"19",-2.94598289576546,-4.90172946591257
"20",-2.72588443003131,-4.90172946591257
"21",-2.50578596429717,-4.90172946591257
"22",-2.28568749856303,-4.90172946591257
"23",-2.06558903282889,-4.90172946591257
"24",-1.84549056709475,-4.90172946591257
"25",-1.62539210136061,-4.90172946591257
"26",-1.40529363562647,-4.90172946591257
"27",-1.18519516989232,-4.90172946591257
"28",-0.965096704158182,-4.90172946591257
"29",-0.744998238424041,-4.90172946591257
"30",-0.5248997726899,-4.90172946591257
"31",-0.304801306955758,-4.90172946591257
"32",-0.0847028412216169,-4.90172946591257
"33",0.135395624512524,-4.90172946591257
"34",0.355494090246665,-4.88270239077636
"35",0.575592555980807,-4.88270239077636
"36",0.795691021714949,-4.88270239077636
"37",1.01578948744909,-4.84777025685388
"38",1.23588795318323,-4.84771990586843
"39",1.45598641891737,-4.60937779954421
"40",1.67608488465151,-4.52013750555389
"41",1.89618335038566,-4.40752805542517
"42",2.1162818161198,-4.31115289331969
"43",2.33638028185394,-4.30196557708454
"44",2.55647874758808,-4.25773463672761
"45",2.77657721332222,-4.22592107860812
"46",2.99667567905636,-4.22064229982054
"47",3.2167741447905,-4.21767459755283
"48",3.43687261052465,-4.21652560999106
"49",3.65697107625879,-4.21702853969377
"50",3.87706954199293,-4.20555217863593
"51",4.09716800772707,-4.18431779125497
"52",4.31726647346121,-4.18156379372167
"53",4.53736493919535,-4.17737560388899
"54",4.75746340492949,-4.17757797925834
"55",4.97756187066364,-4.17262791432996
"56",5.19766033639778,-4.17446107501595
"57",5.41775880213192,-4.17494082578637
"58",5.63785726786606,-4.17535577175304
"59",5.8579557336002,-4.1735466219602
"60",6.07805419933434,-4.17006094996695
"61",6.29815266506848,-4.16678252699694
"62",6.51825113080262,-4.16592957651094
"63",6.73834959653677,-4.16390798110034
"64",6.95844806227091,-4.16121131912995
"65",7.17854652800505,-4.16081982091031
"66",7.39864499373919,-4.1607098691841
"67",7.61874345947333,-4.16155449093348
"68",7.83884192520747,-4.16438084262244
"69",8.05894039094161,-4.16475053743014
"70",8.27903885667576,-4.16633660805447
"71",8.4991373224099,-4.16642183897159
"72",8.71923578814404,-4.16642183897159
"73",8.93933425387818,-4.1647138094931
"74",9.15943271961232,-4.12552180394119
"75",9.37953118534646,-4.09788345705095
"76",9.5996296510806,-4.07335026944227
"77",9.81972811681475,-4.06387661892121
"78",10.0398265825489,-4.05933742707645
"79",10.259925048283,-4.05933742707645
"80",10.4800235140172,-4.05890665276366
"81",10.7001219797513,-4.05879637133147
"82",10.9202204454855,-4.05879637133147
"83",11.1403189112196,-4.05834402275344
"84",11.3604173769537,-4.05834402275344
"85",11.5805158426879,-4.05834402275344
"86",11.800614308422,-4.05834402275344
"87",12.0207127741562,-4.05834402275344
"88",12.2408112398903,-4.05834402275344
"89",12.4609097056244,-4.05834402275344
"90",12.6810081713586,-4.05834402275344
"91",12.9011066370927,-4.05834402275344
"92",13.1212051028269,-4.05834402275344
"93",13.341303568561,-4.05834402275344
"94",13.5614020342951,-4.05834402275344
"95",13.7815005000293,-4.05834402275344
"96",14.0015989657634,-4.05834402275344
"97",14.2216974314976,-4.05834402275344
"98",14.4417958972317,-4.05834402275344
"99",14.6618943629659,-4.05834402275344
"100",14.8819928287,-4.05834402275344
