"","SLP_DS","y"
"1","> 45",-4.70403589488591
"2","0 to 0.5",-4.65645148462908
"3","0.5 to 2",-4.68322781515307
"4","16 to 30",-4.70939427404186
"5","2 to 5",-4.66571840227389
"6","30 to 45",-4.69393082670616
"7","5 to 8",-4.69948612593196
"8","8 to 16",-4.70189018235647
"9","no data",-4.70614393613606
"10","Water",-4.68767181595044
