"","Crops_majority","y"
"1",0,-6.16862596929094
"2",5.41414141414141,-6.16862596929094
"3",10.8282828282828,-6.16862596929094
"4",16.2424242424242,-6.16862596929094
"5",21.6565656565657,-6.16862596929094
"6",27.0707070707071,-6.16862596929094
"7",32.4848484848485,-6.16862596929094
"8",37.8989898989899,-6.16862596929094
"9",43.3131313131313,-6.16862596929094
"10",48.7272727272727,-6.16862596929094
"11",54.1414141414141,-6.16862596929094
"12",59.5555555555556,-6.16862596929094
"13",64.969696969697,-6.16862596929094
"14",70.3838383838384,-6.16862596929094
"15",75.7979797979798,-6.16862596929094
"16",81.2121212121212,-6.16862596929094
"17",86.6262626262626,-6.16862596929094
"18",92.040404040404,-6.16862596929094
"19",97.4545454545455,-6.16862596929094
"20",102.868686868687,-6.16862596929094
"21",108.282828282828,-6.16862596929094
"22",113.69696969697,-6.16862596929094
"23",119.111111111111,-6.16862596929094
"24",124.525252525253,-6.16862596929094
"25",129.939393939394,-6.16862596929094
"26",135.353535353535,-6.16862596929094
"27",140.767676767677,-6.16862596929094
"28",146.181818181818,-6.16862596929094
"29",151.59595959596,-6.16862596929094
"30",157.010101010101,-6.16862596929094
"31",162.424242424242,-6.16862596929094
"32",167.838383838384,-6.16862596929094
"33",173.252525252525,-6.16862596929094
"34",178.666666666667,-6.16862596929094
"35",184.080808080808,-6.16862596929094
"36",189.49494949495,-6.16862596929094
"37",194.909090909091,-6.16862596929094
"38",200.323232323232,-6.16862596929094
"39",205.737373737374,-6.16862596929094
"40",211.151515151515,-6.16862596929094
"41",216.565656565657,-6.16862596929094
"42",221.979797979798,-6.16862596929094
"43",227.393939393939,-6.16862596929094
"44",232.808080808081,-6.16862596929094
"45",238.222222222222,-6.16862596929094
"46",243.636363636364,-6.16862596929094
"47",249.050505050505,-6.16862596929094
"48",254.464646464646,-6.16862596929094
"49",259.878787878788,-6.16862596929094
"50",265.292929292929,-6.16862596929094
"51",270.707070707071,-6.16862596929094
"52",276.121212121212,-6.16862596929094
"53",281.535353535354,-6.16862596929094
"54",286.949494949495,-6.16862596929094
"55",292.363636363636,-6.16862596929094
"56",297.777777777778,-6.16862596929094
"57",303.191919191919,-6.16862596929094
"58",308.606060606061,-6.16862596929094
"59",314.020202020202,-6.16862596929094
"60",319.434343434343,-6.16862596929094
"61",324.848484848485,-6.16862596929094
"62",330.262626262626,-6.16862596929094
"63",335.676767676768,-6.16862596929094
"64",341.090909090909,-6.16862596929094
"65",346.505050505051,-6.16862596929094
"66",351.919191919192,-6.16862596929094
"67",357.333333333333,-6.16862596929094
"68",362.747474747475,-6.16862596929094
"69",368.161616161616,-6.16862596929094
"70",373.575757575758,-6.16862596929094
"71",378.989898989899,-6.16862596929094
"72",384.40404040404,-6.16862596929094
"73",389.818181818182,-6.16862596929094
"74",395.232323232323,-6.16862596929094
"75",400.646464646465,-6.16862596929094
"76",406.060606060606,-6.16862596929094
"77",411.474747474748,-6.16862596929094
"78",416.888888888889,-6.16862596929094
"79",422.30303030303,-6.16862596929094
"80",427.717171717172,-6.16862596929094
"81",433.131313131313,-6.16862596929094
"82",438.545454545455,-6.16862596929094
"83",443.959595959596,-6.16862596929094
"84",449.373737373737,-6.16862596929094
"85",454.787878787879,-6.16862596929094
"86",460.20202020202,-6.16862596929094
"87",465.616161616162,-6.16862596929094
"88",471.030303030303,-6.16862596929094
"89",476.444444444444,-6.16862596929094
"90",481.858585858586,-6.16862596929094
"91",487.272727272727,-6.16862596929094
"92",492.686868686869,-6.16862596929094
"93",498.10101010101,-6.16862596929094
"94",503.515151515152,-6.16862596929094
"95",508.929292929293,-6.16862596929094
"96",514.343434343434,-6.16862596929094
"97",519.757575757576,-6.16862596929094
"98",525.171717171717,-6.16862596929094
"99",530.585858585859,-6.16862596929094
"100",536,-6.16862596929094
