"","LVSTD_DS","y"
"1","High livestock",-6.65672519322082
"2","Low livestock",-6.6630165943957
"3","Moderate livestock",-6.6611029250366
"4","No data",-6.66016822904372
"5","None",-6.66025107724838
"6","Water",-6.65476363711279
