"","LVSTD_DS","y"
"1","High livestock",-4.92019122013486
"2","Low livestock",-4.92342759837681
"3","Moderate livestock",-4.92004800451531
"4","No data",-4.92228215904006
"5","None",-4.92255328552497
"6","Water",-4.91617368709485
