"","Variable","influence"
"188","CARDINALIDAE",0
"189","RALLIDAE",0
"190","PETROICIDAE",0
"191","ESTRILDIDAE",0
"192","HIRUNDINIDAE",0
"193","PYCNONOTIDAE",0
"194","ALAUDIDAE",0
"195","PTILONORHYNCHIDAE",0
"196","TYRANNIDAE",0
"197","PSITTACIDAE",0
"198","ARDEIDAE",0
"199","NECTARINIIDAE",0
"200","ALCIDAE",0
"201","APODIDAE",0
"202","MEGAPODIIDAE",0
"203","AEGOTHELIDAE",0
"204","AEGITHINIDAE",0
"205","AEGITHALIDAE",0
"206","JACANIDAE",0
"207","TIMALIIDAE",0
"208","ALCEDINIDAE",0
"209","NUMIDIDAE",0
"210","RHINOCRYPTIDAE",0
"211","FURNARIIDAE",0
"212","STURNIDAE",0
"213","ACANTHIZIDAE",0
"214","ACANTHISITTIDAE",0
"215","EMBERIZIDAE",0
"216","MELIPHAGIDAE",0
"217","CRACIDAE",0
"218","SYLVIIDAE",0
"219","TROCHILIDAE",0
"220","THYROPTERIDAE",0
"221","THRYONOMYIDAE",0
"222","TAPIRIDAE",0
"223","CEBIDAE",0
"224","RHINOPOMATIDAE",0
"225","RHINOLOPHIDAE",0
"226","PRIONODONTIDAE",0
"227","HOMINIDAE",0
"228","PLATACANTHOMYIDAE",0
"229","PETROMURIDAE",0
"230","PEDETIDAE",0
"231","OCHOTONIDAE",0
"232","NYCTERIDAE",0
"233","NOCTILIONIDAE",0
"234","NANDINIIDAE",0
"235","MYZOPODIDAE",0
"236","MYSTACINIDAE",0
"237","MYRMECOPHAGIDAE",0
"238","MYOCASTORIDAE",0
"239","MOSCHIDAE",0
"240","MORMOOPIDAE",0
"241","DIATOMYIDAE",0
"242","TRAGULIDAE",0
"243","GIRAFFIDAE",0
"244","EQUIDAE",0
"245","DINOMYIDAE",0
"246","DASYPROCTIDAE",0
"247","CYCLOPEDIDAE",0
"248","CUNICULIDAE",0
"249","CTENOMYIDAE",0
"250","CTENODACTYLIDAE",0
"251","EUPLERIDAE",0
"252","HYAENIDAE",0
"253","GEOMYIDAE",0
"254","CRASEONYCTERIDAE",0
"255","MEPHITIDAE",0
"256","MEGALONYCHIDAE",0
"257","HIPPOPOTAMIDAE",0
"258","CERCOPITHECIDAE",0
"259","CHINCHILLIDAE",0
"260","NATALIDAE",0
"261","ERETHIZONTIDAE",0
"262","HETEROMYIDAE",0
"263","GLIRIDAE",0
"264","RHINOCEROTIDAE",0
"265","CAVIIDAE",0
"266","TAYASSUIDAE",0
"267","CASTORIDAE",0
"268","MEGADERMATIDAE",0
"269","CAPROMYIDAE",0
"270","SPALACIDAE",0
"271","CAMELIDAE",0
"272","DIDELPHIDAE",0
"273","CALOMYSCIDAE",0
"274","CALLITRICHIDAE",0
"275","ECHIMYIDAE",0
"276","BRADYPODIDAE",0
"277","LEPORIDAE",0
"278","NESOMYIDAE",0
"279","BATHYERGIDAE",0
"280","PROCYONIDAE",0
"281","EMBALLONURIDAE",0
"282","SUIDAE",0
"283","MOLOSSIDAE",0
"284","HERPESTIDAE",0
"285","HYSTRICIDAE",0
"286","VIVERRIDAE",0
"287","APLODONTIIDAE",0
"288","VESPERTILIONIDAE",0
"289","ANTILOCAPRIDAE",0
"290","HIPPOSIDERIDAE",0
"291","ANOMALURIDAE",0
"292","FURIPTERIDAE",0
"293","PHYLLOSTOMIDAE",0
"294","ATELIDAE",0
"295","DIPODIDAE",0
"296","CERVIDAE",0
"297","AILURIDAE",0
"298","URSIDAE",0
"299","SCIURIDAE",0
"300","OCTODONTIDAE",0
"301","FELIDAE",0
"302","PTEROPODIDAE",0
"303","ABROCOMIDAE",0
"304","CRICETIDAE",0
