"","IUCN.Status","y"
"1","",-4.5106792069014
"2","CR",-4.68902851446722
"3","CR (PE)",-4.67763570829867
"4","CR (PEW)",-4.60562949280361
"5","DD",-4.6864355271639
"6","EN",-4.68351442427013
"7","EW",-4.66585140017548
"8","EX",-4.68336567797407
"9","LC",-4.68965876798587
"10","NT",-4.68606546113711
"11","RE",-4.63260553181958
"12","VU",-4.6883105310043
