"","Variable","influence"
"178","PETAURIDAE",0
"179","CYNOCEPHALIDAE",0
"180","CYCLOPEDIDAE",0
"181","GLAREOLIDAE",0
"182","CUNICULIDAE",0
"183","CTENOMYIDAE",0
"184","CTENODACTYLIDAE",0
"185","TINAMIDAE",0
"186","EUPLERIDAE",0
"187","HYAENIDAE",0
"188","GEOMYIDAE",0
"189","CRASEONYCTERIDAE",0
"190","CRACTICIDAE",0
"191","MUSOPHAGIDAE",0
"192","CORCORACIDAE",0
"193","CORACIIDAE",0
"194","TALPIDAE",0
"195","COLLURICINCLIDAE",0
"196","COLIIDAE",0
"197","CNEMOPHILIDAE",0
"198","CLIMACTERIDAE",0
"199","RECURVIROSTRIDAE",0
"200","CINCLIDAE",0
"201","CINCLOSOMATIDAE",0
"202","HIPPOPOTAMIDAE",0
"203","CHLOROPSEIDAE",0
"204","CHIONIDAE",0
"205","CHINCHILLIDAE",0
"206","FORMICARIIDAE",0
"207","DICRURIDAE",0
"208","MOHOIDAE",0
"209","ERETHIZONTIDAE",0
"210","HETEROMYIDAE",0
"211","GLIRIDAE",0
"212","CERTHIIDAE",0
"213","RHINOCEROTIDAE",0
"214","CAVIIDAE",0
"215","STERCORARIIDAE",0
"216","TAYASSUIDAE",0
"217","CASUARIIDAE",0
"218","CASTORIDAE",0
"219","CARIAMIDAE",0
"220","MEGADERMATIDAE",0
"221","CAPROMYIDAE",0
"222","CAPITONIDAE",0
"223","SPALACIDAE",0
"224","CAMPEPHAGIDAE",0
"225","EURYLAIMIDAE",0
"226","MEGALAIMIDAE",0
"227","CALOMYSCIDAE",0
"228","CALLAEATIDAE",0
"229","CAENOLESTIDAE",0
"230","CACATUIDAE",0
"231","PITHECIIDAE",0
"232","DASYPODIDAE",0
"233","BURRAMYIDAE",0
"234","BURHINIDAE",0
"235","BUCCONIDAE",0
"236","LYBIIDAE",0
"237","GALBULIDAE",0
"238","THRESKIORNITHIDAE",0
"239","BOMBYCILLIDAE",0
"240","NESOMYIDAE",0
"241","PODARGIDAE",0
"242","PLATYSTEIRIDAE",0
"243","BATHYERGIDAE",0
"244","PROCYONIDAE",0
"245","BALAENICIPITIDAE",0
"246","INDRIIDAE",0
"247","THINOCORIDAE",0
"248","ATRICHORNITHIDAE",0
"249","HERPESTIDAE",0
"250","HYSTRICIDAE",0
"251","BRACHYPTERACIIDAE",0
"252","ERINACEIDAE",0
"253","PARADISAEIDAE",0
"254","MOMOTIDAE",0
"255","ARTAMIDAE",0
"256","VANGIDAE",0
"257","MONARCHIDAE",0
"258","LORISIDAE",0
"259","VIVERRIDAE",0
"260","ARAMIDAE",0
"261","APTERYGIDAE",0
"262","SPHENISCIDAE",0
"263","APLODONTIIDAE",0
"264","PROCELLARIIDAE",0
"265","ZOSTEROPIDAE",0
"266","CISTICOLIDAE",0
"267","TROGONIDAE",0
"268","PIPRIDAE",0
"269","ANTILOCAPRIDAE",0
"270","GRUIDAE",0
"271","REMIZIDAE",0
"272","DASYURIDAE",0
"273","ANSERANATIDAE",0
"274","ANOMALURIDAE",0
"275","VIDUIDAE",0
"276","ANHINGIDAE",0
"277","ANHIMIDAE",0
"278","EUPETIDAE",0
"279","RAMPHASTIDAE",0
"280","TUPAIIDAE",0
"281","MALURIDAE",0
"282","COTINGIDAE",0
"283","FURIPTERIDAE",0
"284","CHRYSOCHLORIDAE",0
"285","PLOCEIDAE",0
"286","PETROICIDAE",0
"287","CHEIROGALEIDAE",0
"288","DIPODIDAE",0
"289","ALAUDIDAE",0
"290","AILURIDAE",0
"291","PHALANGERIDAE",0
"292","PTILONORHYNCHIDAE",0
"293","PSITTACIDAE",0
"294","OTIDIDAE",0
"295","NECTARINIIDAE",0
"296","ALCIDAE",0
"297","APODIDAE",0
"298","POTOROIDAE",0
"299","MEGAPODIIDAE",0
"300","AEGOTHELIDAE",0
"301","AEGITHINIDAE",0
"302","AEGITHALIDAE",0
"303","PODICIPEDIDAE",0
"304","JACANIDAE",0
"305","ALCEDINIDAE",0
"306","NUMIDIDAE",0
"307","RHINOCRYPTIDAE",0
"308","ACROBATIDAE",0
"309","OCTODONTIDAE",0
"310","FELIDAE",0
"311","ACANTHIZIDAE",0
"312","ACANTHISITTIDAE",0
"313","MELIPHAGIDAE",0
"314","CRACIDAE",0
"315","ABROCOMIDAE",0
"316","TROCHILIDAE",0
"317","SCIURIDAE",0
"318","HOMINIDAE",0
"319","CALLITRICHIDAE",0
"320","AOTIDAE",0
"321","MEGALONYCHIDAE",0
"322","BRADYPODIDAE",0
"323","LEPORIDAE",0
"324","SORICIDAE",0
"325","VESPERTILIONIDAE",0
"326","RHINOLOPHIDAE",0
"327","PTEROPODIDAE",0
"328","NATALIDAE",0
"329","HIPPOSIDERIDAE",0
"330","EMBALLONURIDAE",0
"331","SUIDAE",0
"332","EQUIDAE",0
"333","CAMELIDAE",0
"334","URSIDAE",0
"335","MEPHITIDAE",0
"336","CANIDAE",0
"337","PHALACROCORACIDAE",0
"338","STRUTHIONIDAE",0
"339","TYTONIDAE",0
"340","STRIGIDAE",0
"341","STRIGOPIDAE",0
"342","PICIDAE",0
"343","PHOENICOPTERIDAE",0
"344","PELECANIDAE",0
"345","VIREONIDAE",0
"346","TIMALIIDAE",0
"347","THRAUPIDAE",0
"348","THAMNOPHILIDAE",0
"349","STURNIDAE",0
"350","SITTIDAE",0
"351","PYCNONOTIDAE",0
"352","PRUNELLIDAE",0
"353","PASSERIDAE",0
"354","PARULIDAE",0
"355","PACHYCEPHALIDAE",0
"356","ORIOLIDAE",0
"357","MUSCICAPIDAE",0
"358","HIRUNDINIDAE",0
"359","ESTRILDIDAE",0
"360","DENDROCOLAPTIDAE",0
"361","CONOPOPHAGIDAE",0
"362","COEREBIDAE",0
"363","RALLIDAE",0
"364","CUCULIDAE",0
"365","MEROPIDAE",0
"366","CICONIIDAE",0
"367","CHARADRIIDAE",0
"368","CATHARTIDAE",0
"369","CAPRIMULGIDAE",0
