"","LVSTD_DS","y"
"1","High livestock",-5.40913341187149
"2","Low livestock",-5.41038299023539
"3","Moderate livestock",-5.39786251302589
"4","No data",-5.39884479554877
"5","None",-5.40710052494604
"6","Water",-5.39418792365229
