"","LVSTD_DS","y"
"1","High livestock",-4.6664954068601
"2","Low livestock",-4.66736521010982
"3","Moderate livestock",-4.65985502198453
"4","No data",-4.67168574770416
"5","None",-4.67343729444337
"6","Water",-4.66291086491251
