"","SLP_DS","y"
"1","> 45",-4.92838945468972
"2","0 to 0.5",-4.90609069491178
"3","0.5 to 2",-4.91686768674991
"4","16 to 30",-4.93040396980731
"5","2 to 5",-4.91958413198841
"6","30 to 45",-4.91908817789146
"7","5 to 8",-4.92835807492052
"8","8 to 16",-4.91504469171361
"9","no data",-4.92690833029312
"10","Water",-4.91710248478212
