"","LVSTD_DS","y"
"1","High livestock",-4.68441999990826
"2","Low livestock",-4.6863920789407
"3","Moderate livestock",-4.68460392664698
"4","No data",-4.68846864114847
"5","None",-4.69457319113627
"6","Water",-4.6836551008047
